1. 깡패 AC: 11 경험치(XP): 30 히트포인트(HP): 2d6+2 능력치: 
| 근력 | 민첩 | 건강 | 지능 | 지혜 | 매력 |
| :---: | :---: | :---: | :---: | :---: | :---: |
| 12 +1 | 14 +2 | 11 +0 | 10 +0 | 10 +0 | 11 +0 |스킬 및 액션:대형 곤봉 / 양손 / 1d8 메이스 / 1d6 전투의 함성 : 공격하기 전 함성을 크게 지릅니다 효과: 공포 상태 발생 2. 우포 AC: 13 경험치(XP): 200 골드(G): 150G 히트포인트(HP): 3d12+20 능력치: 
| 근력 | 민첩 | 건강 | 지능 | 지혜 | 매력 |
| :---: | :---: | :---: | :---: | :---: | :---: |
| 14 +2 | 12 +1 | 14 +2 | 7 -2 | 11 +0 | 10 +0 |스킬 및 액션:첫턴 행동은 공포의 함성 발동 건틀릿 / 1d4 x 2 메모: 1장 최종 xp 260 3. 토르버 AC: 15 경험치(XP): 400xp 골드(G): 400G 히트포인트(HP): 5d8+20 능력치: 
| 근력 | 민첩 | 건강 | 지능 | 지혜 | 매력 |
| :---: | :---: | :---: | :---: | :---: | :---: |
| 11 +0 | 16 +3 | 14 +2 | 14 =2 | 12 +1 | 10 +0 |스킬 및 액션:보이지 않는 적 : 자연 은신을 사용하기 때문에 해결하지 않으면 명중굴림 불리 롱보우 / 양손 / 1d8 숏소드 x2 / 기교, 가벼움 / 1d6 윈드 캐논 : 양손에 압축된 돌풍을 모아 발사 1d12+2 마법 충전 : 한 턴을 소모하여 다음 턴 윈드 캐논 발동 4. 엘프 병사 AC: 12 경험치(XP): 80xp 히트포인트(HP): 2d10+2 능력치: 
| 근력 | 민첩 | 건강 | 지능 | 지혜 | 매력 |
| :---: | :---: | :---: | :---: | :---: | :---: |
| 10 +0 | 14 +2 | 12 +1 | 10 +0 | 12 +1 | 9 +0 |스킬 및 액션:숏보우 / 양손 / 1d6 투창 / 투척 / 1d6 상처 가해 1d10 5. 병사 AC: 12 경험치(XP): 80xp 히트포인트(HP): 3d8+3 능력치: 
| 근력 | 민첩 | 건강 | 지능 | 지혜 | 매력 |
| :---: | :---: | :---: | :---: | :---: | :---: |
| 12 +1 | 10 +0 | 12 +1 | 9 -1 | 10 +0 | 8 -1 |스킬 및 액션:시미터 / 기교, 가벼움 / 1d6 6. 간부 AC: 13 경험치(XP): 160xp 히트포인트(HP): 2d12+10 능력치: 
| 근력 | 민첩 | 건강 | 지능 | 지혜 | 매력 |
| :---: | :---: | :---: | :---: | :---: | :---: |
